Fecha,Precio Mont Belvieu,Precio Dolar,Participacion FEPC,Precio GLP
2019 Jan- 7 to Jan-11 hasta 2019 Jan-14 to Jan-18,0.668,3.331,SI,1.49
2019 Jan-14 to Jan-18 hasta 2019 Jan-21 to Jan-25,0.680,3.334,SI,1.52
2019 Jan-21 to Jan-25 hasta 2019 Jan-28 to Feb- 1,0.678,3.324,SI,1.55
2019 Jan-28 to Feb- 1 hasta 2019 Feb- 4 to Feb- 8,0.658,3.332,SI,1.53
2019 Feb- 4 to Feb- 8 hasta 2019 Feb-11 to Feb-15,0.643,3.324,SI,1.51
2019 Feb-11 to Feb-15 hasta 2019 Feb-18 to Feb-22,0.678,3.308,SI,1.54
2019 Feb-18 to Feb-22 hasta 2019 Feb-25 to Mar- 1,0.697,3.312,SI,1.56
2019 Feb-25 to Mar- 1 hasta 2019 Mar- 4 to Mar- 8,0.687,3.308,SI,1.52
2019 Mar- 4 to Mar- 8 hasta 2019 Mar-11 to Mar-15,0.688,3.298,SI,1.51
2019 Mar-11 to Mar-15 hasta 2019 Mar-18 to Mar-22,0.676,3.308,SI,1.49
2019 Mar-18 to Mar-22 hasta 2019 Mar-25 to Mar-29,0.650,3.309,SI,1.44
2019 Mar-25 to Mar-29 hasta 2019 Apr- 1 to Apr- 5,0.632,3.297,SI,1.42
2019 Apr- 1 to Apr- 5 hasta 2019 Apr- 8 to Apr-12,0.644,3.295,SI,1.43
2019 Apr- 8 to Apr-12 hasta 2019 Apr-15 to Apr-19,0.646,3.311,SI,1.43
2019 Apr-15 to Apr-19 hasta 2019 Apr-22 to Apr-26,0.643,3.317,SI,1.44
2019 Apr-22 to Apr-26 hasta 2019 Apr-29 to May- 3,0.636,3.310,SI,1.42
2019 Apr-29 to May- 3 hasta 2019 May- 6 to May-10,0.607,3.324,SI,1.35
2019 May- 6 to May-10 hasta 2019 May-13 to May-17,0.604,3.339,SI,1.33
2019 May-13 to May-17 hasta 2019 May-20 to May-24,0.581,3.362,SI,1.30
2019 May-20 to May-24 hasta 2019 May-27 to May-31,0.544,3.359,SI,1.26
2019 May-27 to May-31 hasta 2019 Jun- 3 to Jun- 7,0.494,3.342,SI,1.16
2019 Jun- 3 to Jun- 7 hasta 2019 Jun-10 to Jun-14,0.438,3.325,SI,1.05
2019 Jun-10 to Jun-14 hasta 2019 Jun-17 to Jun-21,0.432,3.296,SI,1.03
2019 Jun-17 to Jun-21 hasta 2019 Jun-24 to Jun-28,0.460,3.290,SI,1.07
2019 Jun-24 to Jun-28 hasta 2019 Jul- 1 to Jul- 5,0.475,3.288,SI,1.08
2019 Jul- 1 to Jul- 5 hasta 2019 Jul- 8 to Jul-12,0.478,3.284,SI,1.09
2019 Jul- 8 to Jul-12 hasta 2019 Jul-15 to Jul-19,0.495,3.293,SI,1.10
2019 Jul-15 to Jul-19 hasta 2019 Jul-22 to Jul-26,0.499,3.328,SI,1.05
2019 Jul-22 to Jul-26 hasta 2019 Jul-29 to Aug- 2,0.479,3.368,SI,1.08
2019 Jul-29 to Aug- 2 hasta 2019 Aug- 5 to Aug- 9,0.437,3.380,SI,1.11
2019 Aug- 5 to Aug- 9 hasta 2019 Aug-12 to Aug-16,0.398,3.377,SI,1.05
2019 Aug-12 to Aug-16 hasta 2019 Aug-19 to Aug-23,0.385,3.385,SI,1.02
2019 Aug-19 to Aug-23 hasta 2019 Aug-26 to Aug-30,0.404,3.368,SI,1.05
2019 Aug-26 to Aug-30 hasta 2019 Sep- 2 to Sep- 6,0.426,3.332,SI,1.09
2019 Sep- 2 to Sep- 6 hasta 2019 Sep- 9 to Sep-13,0.432,3.340,SI,1.09
2019 Sep- 9 to Sep-13 hasta 2019 Sep-16 to Sep-20,0.452,3.370,SI,1.13
2019 Sep-16 to Sep-20 hasta 2019 Sep-23 to Sep-27,0.464,3.381,SI,1.18
2019 Sep-23 to Sep-27 hasta 2019 Sep-30 to Oct- 4,0.449,3.370,SI,1.16
2019 Sep-30 to Oct- 4 hasta 2019 Oct- 7 to Oct-11,0.457,3.349,SI,1.19
2019 Oct- 7 to Oct-11 hasta 2019 Oct-14 to Oct-18,0.471,3.338,SI,1.22
2019 Oct-14 to Oct-18 hasta 2019 Oct-21 to Oct-25,0.465,3.342,SI,1.19
2019 Oct-21 to Oct-25 hasta 2019 Oct-28 to Nov- 1,0.479,3.353,SI,1.21
2019 Oct-28 to Nov- 1 hasta 2019 Nov- 4 to Nov- 8,0.503,3.362,SI,1.25
2019 Nov- 4 to Nov- 8 hasta 2019 Nov-11 to Nov-15,0.524,3.376,SI,1.32
